Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100uF/16V,
C2,CP_Radial_D10.0mm_P5.00mm,1,220uF/63V,
"C3, C4",0805,2,100nF,
"CN1, CN2",CONN-TH_24.243.1_RED,2,24.243.1,C7437321
C_PWM1,0805,1,100nF 50V,
D1,D_SMB,1,SS36,
"J3, J5, J6",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,3,Conn_01x04,
L1,L_12x12mm_H6mm,1,33uH,
"Q2, Q4",SOT-23,2,2N7002,
R1,0805,1,470k 1%,
"R10, R6",0805,2,10k,
R2,0805,1,10k 1%,
"R3, R5",0805,2,330R,
R4,0805,1,"1,25k",
"R7, R8",0805,2,"4,7k",
RSHUNT2,1206,1,"0,1R 1%",
R_PWM1,0805,1,100k 1%,
U1,SOT-223-3_TabPin2,1,LM317_SOT-223,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP41010,
"U5, U6",DIP-4_W7.62mm,2,EL817,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,INA219AxD,
VR1,DPAK170P1435X465-6N,1,XL6009,
