Designator,Mid X,Mid Y,Rotation,Layer
C1,37.525,-35.75,0.0,top
C2,18.0,-13.75,0.0,top
C3,30.5,-39.0,0.0,top
C4,71.0,-43.05,90.0,top
CN1,90.85,-14.75,0.0,top
CN2,90.85,-26.3,0.0,top
C_PWM1,11.25,-28.0,180.0,top
D1,27.35,-15.0,0.0,top
J3,82.0,-53.25,180.0,top
J5,4.3,-18.0,270.0,top
J6,36.5,-53.25,180.0,top
L1,39.0,-23.3,270.0,top
Q2,56.245,-25.865,270.0,top
Q4,56.345,-19.465,270.0,top
R1,18.3375,-32.0,0.0,top
R10,56.1325,-28.99,180.0,top
R2,11.0875,-24.0,180.0,top
R3,60.4325,-18.215,180.0,top
R4,21.0875,-40.295,0.0,top
R5,60.4325,-25.69,180.0,top
R6,56.4325,-22.465,180.0,top
R7,60.0875,-41.75,0.0,top
R8,60.0875,-43.75,0.0,top
RSHUNT2,71.25,-38.75,90.0,top
R_PWM1,13.25,-33.0,0.0,top
U1,21.1,-45.45,180.0,top
U2,30.75,-43.0,270.0,top
U5,67.405,-19.595,0.0,top
U6,67.35,-26.96,0.0,top
U9,66.0,-41.0,270.0,top
VR1,23.0,-24.55,0.0,top
